q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
301,withdrawn,2008-02-08,,2008-10-27,,CAISO,"LUCERNE VALLEY SOLAR PROJECT, PHASE 2",,SCE,san bernardino,,,CA,CAISO,,Lugo-Pisgah Line 220kV line,2016-01-01,,Feasibility Study,Solar,Solar,,,500.0,,
caiso_c15_6,active,2023-04-17,,,,CAISO,Picacho Point Energy,,SCE,riverside,,,CA,CAISO,,Colorado River 230kV,2027-06-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,437.0,437.0,
1776,active,2020-04-15,,,,CAISO,VENTOSO,,SCE,san bernardino,,,CA,CAISO,Energy Only,COOLWATER SUBSTATION 115kV,,Executed,IA Executed,Solar+Wind+Battery,Solar,Wind,Battery,207.0,212.0,204.0
1156,withdrawn,2015-04-30,,,,CAISO,SANTA MARIA ENERGY BESS (FKA SANTA MARIA ENERGY RELIABILITY CENTER),,PGAE,santa barbara,,,CA,CAISO,Full Capacity,Santa Maria Cogen 115 kV Tap,2018-05-01,,Feasibility Study,Battery,Battery,,,42.0,,
1855,withdrawn,2021-04-15,,2022-12-19,,CAISO,TRES RIOS ENERGY CENTER,,PGAE,yuba,,,CA,CAISO,Full Capacity,Table Mtn-Rio Oso 230 kV,2025-03-01,,System Impact Study,Solar+Battery,Solar,Battery,,165.0,90.0,
236,withdrawn,2007-06-29,,2008-11-26,,CAISO,CPV CALIFORNIA VIII,,PGAE,san joaquin,,,CA,CAISO,,Tesla Substation 230kV bus,2011-06-01,,Feasibility Study,Gas,Gas,,,630.0,,
2121,active,2021-04-15,,,,CAISO,GREENWOOD ENERGY STORAGE,,SCE,los angeles,,,CA,CAISO,Full Capacity,Mesa Substation 500 kV,2024-08-01,,Facility Study,Battery,Battery,,,252.0,,
1871,active,2021-04-15,,,,CAISO,STAGELINE ENERGY STORAGE,,PGAE,butte,,,CA,CAISO,Full Capacity,Palermo 115 kV,2024-06-01,,Facility Study,Battery,Battery,,,214.0,,
1015,withdrawn,2014-04-30,,,,CAISO,PLEASANT GROVE GRID STABILIZATION PROJECT,,PGAE,placer,,,CA,CAISO,Full Capacity,Pleasant Grove Substation 115 kV,,,Feasibility Study,Battery,Battery,,,20.0,,
1491,active,2018-04-16,,,,CAISO,TEPONA OFF-SHORE WIND,,PGAE,humboldt,,,CA,CAISO,Energy Only,Humboldt 115 kV,2024-10-01,,Facility study,Offshore Wind,Offshore Wind,,,162.0,,
1595,withdrawn,2019-04-15,,,,CAISO,PEONY,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway 230kV,2021-07-31,,System Impact Study,Solar,Solar,,,359.0,,
1858,active,2021-04-15,,,,CAISO,GRINDSTONE CREEK SOLAR,,PGAE,tehama,,,CA,CAISO,Full Capacity,Cottonwood-Delevan #1 and #2 230 kV,2024-08-31,,Facility Study,Solar,Solar,,,143.0,,
187,withdrawn,2007-03-14,,,,CAISO,NEW GEYSERS,,PGAE,sonoma,,,CA,CAISO,,Geysers-Fulton 230kV transmission line,2011-01-01,,System Impact Study,Other,Steam Turbine,,,50.0,,
218,withdrawn,2007-05-22,,,,CAISO,OLYMPUS POWER,,SDGE,san diego,,,CA,CAISO,,Loop Talega-Escondido 230kV line,2010-03-31,,Feasibility Study,Gas,Gas,,,99.0,,
1989,withdrawn,2021-04-15,,2022-12-16,,CAISO,ROSEBOWL,,PGAE,kern,,,CA,CAISO,Full Capacity,Kern PP Substation 115KV,2024-06-30,,Feasibility Study,Battery,Battery,,,152.0,,
caiso_c15_249,active,2023-04-17,,,,CAISO,Castoria BESS,,PGAE,san joaquin,,,CA,CAISO,,French Camp line 60kV,2026-12-01,,In Progress (unknown study),Battery,Battery,,,60.0,,
1997,withdrawn,2021-04-15,,2022-12-18,,CAISO,HIGH PLAINS STORAGE,,PGAE,san luis obispo,,,CA,CAISO,Full Capacity,Caliente Switching Station 230 kV,2024-04-01,,System Impact Study,Battery,Battery,,,406.0,,
