n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,88.0,12.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14866.0,3283.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,88.0,13.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14866.0,3574.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,89.0,13.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,15382.0,3574.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,90.0,13.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,15631.0,3574.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,91.0,13.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,16131.0,3574.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,91.0,13.0,1.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,16131.0,3574.0,2023.0,13000.0,775.0,3200.0,0.0,0.0
0.0,92.0,13.0,1.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,16431.0,3574.0,2023.0,13000.0,775.0,3200.0,0.0,0.0
0.0,93.0,13.0,1.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,16551.0,3574.0,2023.0,13000.0,775.0,3200.0,0.0,0.0
0.0,93.0,14.0,1.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,16551.0,3619.0,2023.0,13000.0,775.0,3200.0,0.0,0.0
0.0,93.0,14.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,16551.0,3619.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,94.0,14.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,16749.0,3619.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,95.0,14.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,16840.0,3619.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,95.0,15.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,16840.0,4154.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,96.0,15.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17140.0,4154.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,97.0,15.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17255.0,4154.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,98.0,15.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17381.0,4154.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,99.0,15.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17630.0,4154.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,100.0,15.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17827.0,4154.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,100.0,16.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17827.0,4429.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,100.0,17.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,17827.0,4994.0,2023.0,13000.0,775.0,6400.0,0.0,0.0
0.0,100.0,17.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,17827.0,4994.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,100.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,17827.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,101.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,18127.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,102.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,18321.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,103.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,18821.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
0.0,104.0,18.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,19171.0,5294.0,2023.0,13000.0,775.0,9100.0,0.0,0.0
