n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
175.0,249.0,14.0,42864.0,72214.4,1884.0
176.0,249.0,14.0,43364.0,72214.4,1884.0
176.0,250.0,14.0,43364.0,72264.4,1884.0
176.0,251.0,14.0,43364.0,72514.4,1884.0
177.0,251.0,14.0,43494.0,72514.4,1884.0
178.0,251.0,14.0,43770.0,72514.4,1884.0
178.0,252.0,14.0,43770.0,72764.4,1884.0
178.0,253.0,14.0,43770.0,72952.4,1884.0
179.0,253.0,14.0,43800.0,72952.4,1884.0
180.0,253.0,14.0,44110.0,72952.4,1884.0
180.0,254.0,14.0,44110.0,73202.4,1884.0
180.0,255.0,14.0,44110.0,73482.4,1884.0
180.0,256.0,14.0,44110.0,74212.4,1884.0
181.0,256.0,14.0,44165.0,74212.4,1884.0
182.0,256.0,14.0,44205.0,74212.4,1884.0
183.0,256.0,14.0,44305.0,74212.4,1884.0
184.0,256.0,14.0,44345.0,74212.4,1884.0
185.0,256.0,14.0,44404.0,74212.4,1884.0
185.0,257.0,14.0,44404.0,74353.4,1884.0
186.0,257.0,14.0,44454.0,74353.4,1884.0
186.0,258.0,14.0,44454.0,75193.4,1884.0
186.0,259.0,14.0,44454.0,75443.4,1884.0
187.0,259.0,14.0,44504.0,75443.4,1884.0
188.0,259.0,14.0,44563.0,75443.4,1884.0
189.0,259.0,14.0,44603.0,75443.4,1884.0
189.0,260.0,14.0,44603.0,75673.4,1884.0
190.0,260.0,14.0,44893.0,75673.4,1884.0
190.0,261.0,14.0,44893.0,75757.4,1884.0
191.0,261.0,14.0,44933.0,75757.4,1884.0
191.0,262.0,14.0,44933.0,75773.4,1884.0
192.0,262.0,14.0,44953.0,75773.4,1884.0
193.0,262.0,14.0,44973.0,75773.4,1884.0
193.0,263.0,14.0,44973.0,75784.4,1884.0
194.0,262.0,14.0,44993.0,75730.4,1884.0
195.0,262.0,14.0,45013.0,75730.4,1884.0
196.0,262.0,14.0,45033.0,75730.4,1884.0
195.0,262.0,14.0,44671.0,75105.29999999999,1884.0
146.0,186.0,14.0,32543.0,55054.29999999999,1884.0
147.0,186.0,14.0,32563.0,55054.29999999999,1884.0
148.0,186.0,14.0,32583.0,55054.29999999999,1884.0
149.0,186.0,14.0,32603.0,55054.29999999999,1884.0
149.0,186.0,14.0,32603.0,55059.29999999999,1884.0
150.0,186.0,14.0,32623.0,55059.29999999999,1884.0
151.0,186.0,14.0,32633.0,55059.29999999999,1884.0
152.0,182.0,14.0,32653.0,54516.29999999999,1884.0
153.0,182.0,14.0,32673.0,54516.29999999999,1884.0
154.0,182.0,14.0,32693.0,54516.29999999999,1884.0
154.0,183.0,14.0,32693.0,54706.29999999999,1884.0
155.0,183.0,15.0,32993.0,54706.29999999999,2032.0
157.0,183.0,15.0,34093.0,54706.29999999999,2032.0
157.0,184.0,15.0,34093.0,54754.29999999999,2032.0
