n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,n_type_13,n_type_14,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11,mw_type_12,mw_type_13
0.0,68.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31314.0,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,69.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31864.0,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.0,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32416.1,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33154.1,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32917.1,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,72.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32987.1,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,73.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33912.1,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,74.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33922.0,315.0,95.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,73.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33422.0,315.0,95.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
