q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
322,withdrawn,2008-03-18,,,contra costa,Gas,,,611.0,,
321,withdrawn,2008-03-18,,,plumas,Wind,,,100.0,,
326,withdrawn,2008-03-27,,,kern,Solar,,,100.0,,
324,withdrawn,2008-03-27,,,san bernardino,Solar,,,250.0,,
328,withdrawn,2008-03-27,,,kern,Solar,,,100.0,,
327,withdrawn,2008-03-27,2008-11-21,,kern,Solar,,,100.0,,
323,withdrawn,2008-03-27,,,kern,Solar,,,100.0,,
325,withdrawn,2008-03-27,,,kern,Solar,,,100.0,,
331,withdrawn,2008-03-31,2008-11-26,,kern,Steam Turbine,,,231.0,,
329,withdrawn,2008-03-31,2008-11-26,,kern,Steam Turbine,,,264.0,,
333,withdrawn,2008-03-31,2008-11-26,,san bernardino,Steam Turbine,,,33.0,,
330,withdrawn,2008-03-31,2008-11-26,,los angeles,Steam Turbine,,,33.0,,
332,withdrawn,2008-03-31,2008-11-26,,kern,Steam Turbine,,,264.0,,
334,operational,2008-04-04,,2012-06-30,alameda,Gas,,,196.0,,
335,withdrawn,2008-04-04,,,alameda,Gas,,,99.0,,
336,withdrawn,2008-04-07,2008-11-21,,san diego,Solar,,,75.0,,
338,withdrawn,2008-04-17,2008-11-25,,fresno,Gas,,,10.0,,
339,withdrawn,2008-04-18,2008-11-25,,san francisco,Gas,,,50.0,,
337,operational,2008-04-18,,2013-02-12,san diego,Solar,,,26.0,,
340,operational,2008-04-22,,2013-03-08,tulare,Solar,,,20.0,,
341,withdrawn,2008-04-23,2008-11-25,,merced,Gas,,,525.0,,
354,withdrawn,2008-04-25,2008-11-25,,fresno,Gas,,,49.0,,
344,withdrawn,2008-04-25,,,los angeles,Solar,,,40.0,,
350,withdrawn,2008-04-25,,,san bernardino,Solar,,,80.0,,
352,withdrawn,2008-04-25,2008-11-25,,stanislaus,Gas,,,49.0,,
346,withdrawn,2008-04-25,2008-11-21,,los angeles,Solar,,,30.0,,
347,withdrawn,2008-04-25,,,los angeles,Solar,,,50.0,,
351,withdrawn,2008-04-25,2008-11-25,,yolo,Gas,,,49.0,,
343,withdrawn,2008-04-25,2008-11-21,,los angeles,Solar,,,40.0,,
345,withdrawn,2008-04-25,2008-11-21,,los angeles,Solar,,,40.0,,
353,withdrawn,2008-04-25,2008-11-25,,fresno,Gas,,,49.0,,
355,withdrawn,2008-04-28,2008-11-20,,san luis obispo,Solar,,,100.0,,
356,operational,2008-04-28,,,san luis obispo,Solar,,,40.0,,
357,withdrawn,2008-04-28,,,kern,Solar,,,100.0,,
358,withdrawn,2008-04-30,2008-11-20,,kern,Solar,,,100.0,,
360,withdrawn,2008-05-01,,,colusa,Gas,,,200.0,,
359,withdrawn,2008-05-01,2008-11-26,,san bernardino,Solar,,,350.0,,
362,withdrawn,2008-05-02,2008-11-26,,riverside,Steam Turbine,,,300.0,,
361,withdrawn,2008-05-02,2008-11-26,,riverside,Steam Turbine,,,200.0,,
364,withdrawn,2008-05-06,2008-11-21,,kern,Solar,,,700.0,,
363,withdrawn,2008-05-06,,,kern,Solar,,,700.0,,
367,withdrawn,2008-05-12,2008-11-24,,santa barbara,Solar,,,50.0,,
366,withdrawn,2008-05-12,2008-10-30,,alameda,Gas,,,116.0,,
365,active,2008-05-12,,,riverside,Solar,Battery,,457.0,50.0,
368,withdrawn,2008-05-16,2008-11-20,,san diego,Gas,,,150.0,,
369,withdrawn,2008-05-16,2008-10-24,,riverside,Hydro,,,1300.0,,
370,withdrawn,2008-05-19,2008-11-24,,solano,Gas,,,390.0,,
372,withdrawn,2008-05-21,,,kings,Solar,,,20.0,,
371,withdrawn,2008-05-23,2008-11-26,,fresno,Gas,,,338.0,,
374,withdrawn,2008-05-27,2008-11-25,,glenn,Gas,,,49.0,,
373,withdrawn,2008-05-27,2008-11-26,,san joaquin,Gas,,,315.0,,
378,active,2008-05-28,,,santa clara,Gas,Battery,,120.0,3.0,
